{###NAME###},セルジュ,キッド,アルフ,イシト,スラッシュ,蛇骨,リデル,カーシュ,ゾア,マルチェラ,コルチャ,ルチアナ,ポシュル,ラズリー,ザッパ,オーチャ,ラディウス,ファルガ,ママチャ,グレン,レナ,ミキ,ツクヨミ,ジャネス,龍の子,星の子,スプリガン,ラッキーダン,カブ夫,改良フィオ,ジルベルト,スカール,キノコ,イレーネス,メル,リーア,バンクリフ,スネフ,スティーナ,ドク,ギャダラン,ピエール,オルハ,ツマル,ツマル,ツマル,ツマル,ツマル,ツマル,ヤマネコ,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{呼び名},color(1)呼び名color(0),{SERGE%},{SERGE%},{SERGE%},{SERGE%2}君,{SERGE%}君,{SERGE%}さん,小僧,{SERGE%},{SERGE%2}兄ちゃん,{SERGE%},{SERGE%2}君,{SERGE%2}しゃん,{SERGE%1}ーさま,{SERGE%2}君,{SERGE%2}君,{SERGE%},{SERGE%1}ー公,{SERGE%1}ーちゃん,{SERGE%},{SERGE%},{SERGE%2}ちゃん,ヤマネコ様,{SERGE%2}君,{SERGE%},{SERGE%2}殿,{SERGE%},{SERGE%2}殿,{SERGE%2}殿,{SERGE%},{SERGE%},{SERGE%},{SERGE%1}ーさん,{SERGE%},{SERGE%2}兄ちゃん,{SERGE%1}ーちゃん,{SERGE%},{SERGE%}君,{SERGE%},{SERGE%}君,{SERGE%},{SERGE%2}殿,{SERGE%},{SERGE%},{SERGE%},{SERGE%},{SERGE%},{SERGE%},{SERGE%},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{一人称},color(1)一人称color(0),オレ,俺,私,ボク,わし,私,俺,オレ,あたし,オイラ,わたくし,{POSHUL%},ボク,ワシ,ワシ,わし,俺,あたし,おれ,私,アタイ,あたい,あたし,{DRAGGY%},{STARKY%},あたし,わらし,ボク,アタシ,俺,ぼく,わて,私,{MEL%},{LEEA%},ボク,わが輩,わたくし,私,俺,わたくし,私,{PIP%},{PIP%},{PIP%},{PIP%},{PIP%},{PIP%},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{一人称複},color(1)一人称複数color(0),オレたち,俺たち,私達,ボクたち,わしら,私たち,俺たち,オレたち,あたしたち,オイラたち,わたくしたち,{POSHUL%}たち,ボクら,ワシら,ワシら,わし達,俺達,あたしら,おれたち,私たち,アタイら,あたいら,あたしたち,{DRAGGY%}たち,{STARKY%}たち,あたしら,わらしたち,ボクら,アタシたち,俺たち,ぼくたち,わてら,私たち,{MEL%}たち,{LEEA%}たち,ボクたち,わが輩ら,わたくし達,私たち,俺たち,わたくし達,私達,{PIP%}たち,{PIP%}たち,{PIP%}たち,{PIP%}たち,{PIP%}たち,{PIP%}たち,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{二人称},color(1)二人称color(0),おまえ,おまえ,君,おまえ,お前,あなた,てめえ,オマエ,おまえ,あんた,あなた,あんたしゃん,あなた,おまえ,君,貴公,おまえ,アンタ,おまえ,あなた,アンタ,おまえ,あなた,アナタ,オマエ,おまえ,わーた,チミ,アナタ,君,君,そち,あなた,あんた,オマエ,オタク,お前さん,あなた,あんた,お前,あなた,あなた,あなた,あなた,あなた,あなた,あなた,あなた,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{二人称複},color(1)二人称複数color(0),おまえら,おまえたち,君達,おまえたち,お前たち,あなた方,てめえら,オマエら,おまえたち,あんたたち,あなた方,あんたしゃん達,あなたたち,おまえら,君ら,貴公ら,おまえら,アンタたち,おまえら,あなたたち,アンタら,おまえら,あなたたち,アナタたち,オマエたち,おまえら,わーたたち,チミたち,アナタたち,君ら,君たち,そちら,あなたたち,あんたたち,オマエら,オタクら,お前さん達,あなた方,あんた達,お前たち,あなた方,あなた達,あなたたち,あなたたち,あなたたち,あなたたち,あなたたち,あなたたち,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{三人称},color(1)三人称color(0),あいつ,ヤツ,彼,あいつ,きゃつ,あの方,やつ,やつ,あいつ,やつ,あの方,あの人,あの人,やつ,やつ,あやつ,やつ,やつ,やつ,あの人,やつ,ヤツ,あの方,カレ,彼,あいつ,わいつ,ヤツ,あの人,彼,あいつ,その者,あの方,やつ,やつ,そいつ,やっこさん,彼,あいつ,ヤツ,彼,あいつ,あの人,あの人,あの人,あの人,あの人,あの人,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{三人称複},color(1)三人称複数color(0),あいつら,ヤツら,彼ら,あいつら,きゃつら,あの方たち,やつら,やつら,あいつら,やつら,あの方たち,あの人達,あの人たち,やつら,やつら,あやつら,やつら,やつら,やつら,あの人たち,やつら,ヤツら,あの方たち,カレら,彼ら,あいつら,わいつら,ヤツら,あの人たち,彼ら,あいつら,その者ども,あの方たち,やつら,やつら,そいつら,やっこさん達,彼ら,あいつら,ヤツら,彼ら,あいつら,あの人たち,あの人たち,あの人たち,あの人たち,あの人たち,あの人たち,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{グラインド},color(1)グラインドcolor(0),ん,ん,ん,の,の,の,ん,ん,ん,ん,の,ん,ン,の,ん,の,ん,ん,ん,の,ん,ん,の,{n/a},ン,ん,ん,の,ん,ん,ん,の,の,ん,{n/a},ん,ん,の,ん,の,の,ん,の,の,の,の,の,の,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{体現後置形},color(1)体言color(0),だ,だ,だ,だ,だ,です,だ,だ,だ,だ,です,でしゅる,だ,だ,じゃ,じゃ,だ,だ,だ,{n/a},だ,だ,{n/a},{n/a},ダ,だ,だ,だも,です,だ,だ,だす,です,だ,{n/a},だ,じゃ,です,だ,だ,です,だ,です,です,です,です,です,です,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
