{###NAME###},セルジュ,キッド,アルフ,イシト,スラッシュ,蛇骨,リデル,カーシュ,ゾア,マルチェラ,コルチャ,ルチアナ,ポシュル,ラズリー,ザッパ,オーチャ,ラディウス,ファルガ,ママチャ,グレン,レナ,ミキ,ツクヨミ,ジャネス,龍の子,星の子,スプリガン,ラッキーダン,カブ夫,改良フィオ,ジルベルト,スカール,キノコ,イレーネス,メル,リーア,バンクリフ,スネフ,スティーナ,ドク,ギャダラン,ピエール,オルハ,ツマル,ツマル,ツマル,ツマル,ツマル,ツマル,ヤマネコ,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{-}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , , , , 
{a},a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,aa,a,a,a,a,a,a,a,ä,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
{e},e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,ee,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
{i},i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,ii,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
{o},o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oo,o,oo,o,o,o,o,o,ö,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
{u},u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,uu,u,u,u,u,u,u,u,ü,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
{g'},g,',g,g,g,g,g,g,g,g,',g,g,g,',',g,',',g,g,g,g,g,g,g,',g,g,g,g,g,g,g,',g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
{'re},'re,'re, are, are,'re, are, are,'re,'re,'re,'re, are,'re,'re,'re,'re,'re,'re,'re, are,'re,'re,'re,'re,'rrre,'re,'re,'re,'re,'re, are,'re,'re, äre,'re,'re,'re,'re, are, are,-are,'re,'re,'re,'re,'re,'re,'re,'re,'re
{h'},h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,',h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
{l},l,l,l,l,l,l,l,l,l,l,l,l,r,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,w,w,w,w,w,w,l
{rr},r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,rrr,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
{rw},r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,w,w,w,w,w,w,r
{rwr},r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,rrr,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,w,w,w,w,w,w,r
{f},f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,ph,f,f,f,f,f,f,f,ff,f,f,f,f,f,f,f,f,f,f,f,f
